Format,1.0B,
Memory Length,10000,
IntpDistance,4096,
Trigger Address,4889,
Trigger Level,-9.400E-03,
Source,CH2,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,15,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E-03,
Vertical Position,4.800E-03,
Horizontal Units,S,
Horizontal Scale,5.000E-08,
Horizontal Position,1.105E-07,
Horizontal Mode,Main,
SincET Mode,Sinc2,
Sampling Period,1.000E-09,
Horizontal Old Scale,5.000E-08,
Horizontal Old Position,1.105E-07,
Firmware,V1.09,
Mode,Detail,
Waveform Data,
-4.729500e-06,-4.00e-04,
-4.728500e-06,-2.00e-04,
-4.727500e-06,-4.00e-04,
-4.726500e-06,-4.00e-04,
-4.725500e-06,-4.00e-04,
-4.724500e-06,-4.00e-04,
-4.723500e-06,-2.00e-04,
-4.722500e-06,-2.00e-04,
-4.721500e-06,-4.00e-04,
-4.720500e-06,-4.00e-04,
-4.719500e-06,-2.00e-04,
-4.718500e-06,-2.00e-04,
-4.717500e-06,-2.00e-04,
-4.716500e-06,-4.00e-04,
-4.715500e-06,-4.00e-04,
-4.714500e-06,-4.00e-04,
-4.713500e-06,-4.00e-04,
-4.712500e-06,-2.00e-04,
-4.711500e-06,-4.00e-04,
-4.710500e-06,-2.00e-04,
-4.709500e-06,-2.00e-04,
-4.708500e-06,-4.00e-04,
-4.707500e-06,-4.00e-04,
-4.706500e-06,-2.00e-04,
-4.705500e-06,-2.00e-04,
-4.704500e-06,-4.00e-04,
-4.703500e-06,-2.00e-04,
-4.702500e-06,-4.00e-04,
-4.701500e-06,-4.00e-04,
-4.700500e-06,-2.00e-04,
-4.699500e-06,-4.00e-04,
-4.698500e-06,-4.00e-04,
-4.697500e-06,-2.00e-04,
-4.696500e-06,-4.00e-04,
-4.695500e-06,-4.00e-04,
-4.694500e-06,-4.00e-04,
-4.693500e-06,-4.00e-04,
-4.692500e-06,-2.00e-04,
-4.691500e-06,-2.00e-04,
-4.690500e-06,-4.00e-04,
-4.689500e-06,-2.00e-04,
-4.688500e-06,-2.00e-04,
-4.687500e-06,-4.00e-04,
-4.686500e-06,-4.00e-04,
-4.685500e-06,-4.00e-04,
-4.684500e-06,-4.00e-04,
-4.683500e-06,-8.00e-04,
-4.682500e-06,-4.00e-04,
-4.681500e-06,-4.00e-04,
-4.680500e-06,-2.00e-04,
-4.679500e-06,-4.00e-04,
-4.678500e-06,-4.00e-04,
-4.677500e-06,-4.00e-04,
-4.676500e-06,-2.00e-04,
-4.675500e-06,-2.00e-04,
-4.674500e-06,-4.00e-04,
-4.673500e-06,-4.00e-04,
-4.672500e-06,-2.00e-04,
-4.671500e-06,-2.00e-04,
-4.670500e-06,-4.00e-04,
-4.669500e-06,-4.00e-04,
-4.668500e-06,-2.00e-04,
-4.667500e-06,-2.00e-04,
-4.666500e-06,-2.00e-04,
-4.665500e-06,-4.00e-04,
-4.664500e-06,0.00e+00,
-4.663500e-06,-4.00e-04,
-4.662500e-06,-2.00e-04,
-4.661500e-06,-2.00e-04,
-4.660500e-06,-4.00e-04,
-4.659500e-06,-4.00e-04,
-4.658500e-06,-2.00e-04,
-4.657500e-06,-2.00e-04,
-4.656500e-06,-2.00e-04,
-4.655500e-06,-4.00e-04,
-4.654500e-06,-4.00e-04,
-4.653500e-06,-4.00e-04,
-4.652500e-06,-4.00e-04,
-4.651500e-06,-4.00e-04,
-4.650500e-06,-4.00e-04,
-4.649500e-06,-8.00e-04,
-4.648500e-06,-4.00e-04,
-4.647500e-06,-4.00e-04,
-4.646500e-06,-4.00e-04,
-4.645500e-06,-2.00e-04,
-4.644500e-06,-2.00e-04,
-4.643500e-06,-4.00e-04,
-4.642500e-06,-4.00e-04,
-4.641500e-06,-4.00e-04,
-4.640500e-06,-4.00e-04,
-4.639500e-06,-4.00e-04,
-4.638500e-06,-8.00e-04,
-4.637500e-06,-4.00e-04,
-4.636500e-06,-4.00e-04,
-4.635500e-06,-8.00e-04,
-4.634500e-06,-4.00e-04,
-4.633500e-06,-4.00e-04,
-4.632500e-06,-8.00e-04,
-4.631500e-06,-8.00e-04,
-4.630500e-06,-8.00e-04,
-4.629500e-06,-8.00e-04,
-4.628500e-06,-4.00e-04,
-4.627500e-06,-2.00e-04,
